食品名,P,F,C
＜えび・かに類＞　えび類　くるまえび　養殖　焼き,23.5 ,0.4 ,4.3 
＜えび・かに類＞　えび類　さくらえび　生,16.6 ,2.0,4.9 
＜えび・かに類＞　えび類　さくらえび　ゆで,18.2 ,1.5 ,0.8 
＜えび・かに類＞　えび類　さくらえび　素干し,64.9 ,4.0,2.0
＜えび・かに類＞　えび類　さくらえび　煮干し,59.1 ,2.5 ,1.5 
＜えび・かに類＞　えび類　大正えび　生,21.7 ,0.3 ,4.1 
＜えび・かに類＞　えび類　しばえび　生,18.7 ,0.4 ,3.3 
＜えび・かに類＞　えび類　バナメイえび　養殖　生,19.6 ,0.6 ,3.3 
＜えび・かに類＞　えび類　バナメイえび　養殖　天ぷら,20.0,10.3 ,9.2 
＜えび・かに類＞　えび類　ブラックタイガー　養殖　生,18.4 ,0.3 ,3.7 
＜えび・かに類＞　えび類　加工品　干しえび,48.6 ,2.8 ,1.9 
＜えび・かに類＞　えび類　加工品　つくだ煮,25.9 ,2.2 ,31.0
＜えび・かに類＞　かに類　がざみ　生,14.4 ,0.3 ,4.2 
＜えび・かに類＞　かに類　毛がに　生,15.8 ,0.5 ,4.1 
＜えび・かに類＞　かに類　毛がに　ゆで,18.4 ,0.5 ,5.2 
＜えび・かに類＞　かに類　ずわいがに　生,13.9 ,0.4 ,3.6 
＜えび・かに類＞　かに類　ずわいがに　ゆで,15.0,0.6 ,4.2 
＜えび・かに類＞　かに類　ずわいがに　水煮缶詰,16.3 ,0.4 ,4.6 
＜えび・かに類＞　かに類　たらばがに　生,13.0,0.9 ,2.9 
＜えび・かに類＞　かに類　たらばがに　ゆで,17.5 ,1.5 ,3.2 
＜えび・かに類＞　かに類　たらばがに　水煮缶詰,20.6 ,0.3 ,5.5 
＜えび・かに類＞　かに類　加工品　がん漬,8.4 ,0.4 ,5.6 
＜いか・たこ類＞　いか類　あかいか　生,17.9 ,1.5 ,5.1 
＜いか・たこ類＞　いか類　けんさきいか　生,17.5 ,1.0,5.5 
＜いか・たこ類＞　いか類　こういか　生,14.9 ,1.3 ,4.1 
＜いか・たこ類＞　いか類　するめいか　生,17.9 ,0.8 ,4.7 
＜いか・たこ類＞　いか類　するめいか　水煮,21.9 ,0.9 ,7.5 
＜いか・たこ類＞　いか類　するめいか　焼き,23.6 ,1.0,8.9 
＜いか・たこ類＞　いか類　するめいか　胴　皮つき　生,18.6 ,0.7 ,4.7 
＜いか・たこ類＞　いか類　するめいか　胴　皮なし　生,18.6 ,0.6 ,5.4 
＜いか・たこ類＞　いか類　するめいか　胴　皮なし　天ぷら,16.7 ,10.8 ,10.2 
＜いか・たこ類＞　いか類　するめいか　耳・足　生,16.9 ,0.9 ,4.4 
＜いか・たこ類＞　いか類　ほたるいか　生,11.8 ,3.5 ,5.4 
＜いか・たこ類＞　いか類　ほたるいか　ゆで,17.7 ,2.9 ,8.1 
＜いか・たこ類＞　いか類　ほたるいか　くん製,43.1 ,7.5 ,25.4 
＜いか・たこ類＞　いか類　ほたるいか　つくだ煮,27.0,6.7 ,25.8 
＜いか・たこ類＞　いか類　やりいか　生,17.6 ,1.0,5.3 
＜いか・たこ類＞　いか類　加工品　するめ,69.2 ,4.3 ,22.1 
＜いか・たこ類＞　いか類　加工品　さきいか,45.5 ,3.1 ,19.6 
＜いか・たこ類＞　いか類　加工品　くん製,35.2 ,1.5 ,13.6 
＜いか・たこ類＞　いか類　加工品　切りいかあめ煮,22.7 ,4.7 ,54.0
＜いか・たこ類＞　いか類　加工品　いかあられ,20.0,1.8 ,55.4 
＜いか・たこ類＞　いか類　加工品　塩辛,15.2 ,3.4 ,7.2 
＜いか・たこ類＞　いか類　加工品　味付け缶詰,21.4 ,1.8 ,8.8 
＜いか・たこ類＞　たこ類　いいだこ　生,14.6 ,0.8 ,4.6 
＜いか・たこ類＞　たこ類　まだこ　生,16.4 ,0.7 ,5.3 
＜いか・たこ類＞　たこ類　まだこ　ゆで,21.7 ,0.7 ,7.2 
＜いか・たこ類＞　たこ類　みずだこ　生,13.4 ,0.9 ,5.0
＜その他＞　あみ　つくだ煮,19.1 ,1.8 ,35.8 
＜その他＞　あみ　塩辛,12.9 ,1.1 ,5.6 
＜その他＞　うに　生うに,16.0,4.8 ,9.8 
＜その他＞　うに　粒うに,17.2 ,5.8 ,17.9 
＜その他＞　うに　練りうに,13.5 ,2.9 ,23.2 
＜その他＞　おきあみ　生,15.0,3.2 ,6.1 
＜その他＞　おきあみ　ゆで,13.8 ,3.0,5.6 
＜その他＞　くらげ　塩蔵　塩抜き,5.2 ,0.1 ,0.1 
＜その他＞　しゃこ　ゆで,19.2 ,1.7 ,5.0
＜その他＞　なまこ　生,4.6 ,0.3 ,1.7 
＜その他＞　なまこ　このわた,11.4 ,1.8 ,1.6 
＜その他＞　ほや　生,5.0,0.8 ,1.1 
＜その他＞　ほや　塩辛,11.6 ,1.1 ,4.3 
＜水産練り製品＞　かに風味かまぼこ,12.1 ,0.5 ,9.3 
＜水産練り製品＞　黒はんぺん,11.2 ,2.9 ,15.2 
＜水産練り製品＞　昆布巻きかまぼこ,8.9 ,0.5 ,11.2 
＜水産練り製品＞　す巻きかまぼこ,12.0,0.8 ,8.9 
＜水産練り製品＞　蒸しかまぼこ,12.0,0.9 ,11.0
＜水産練り製品＞　焼き抜きかまぼこ,16.2 ,1.0,7.6 
＜水産練り製品＞　焼き竹輪,12.2 ,2.0,13.8 
＜水産練り製品＞　だて巻,14.6 ,7.5 ,18.8 
＜水産練り製品＞　つみれ,12.0,4.3 ,8.2 
＜水産練り製品＞　なると,7.6 ,0.4 ,11.7 
＜水産練り製品＞　はんぺん,9.9 ,1.0,11.5 
＜水産練り製品＞　さつま揚げ,12.5 ,3.7 ,14.6 
＜水産練り製品＞　魚肉ハム,13.4 ,6.7 ,11.7 
＜水産練り製品＞　魚肉ソーセージ,11.5 ,7.2 ,14.5 
＜畜肉類＞　いのしし　肉　脂身つき　生,18.8 ,19.8 ,1.7 
＜畜肉類＞　いのぶた　肉　脂身つき　生,18.1 ,24.1 ,1.2 
＜畜肉類＞　うさぎ　肉　赤肉　生,20.5 ,6.3 ,4.1 
＜畜肉類＞　うし　［和牛肉］　かた　脂身つき　生,17.7 ,22.3 ,2.0
＜畜肉類＞　うし　［和牛肉］　かた　皮下脂肪なし　生,18.3 ,19.8 ,1.8 
＜畜肉類＞　うし　［和牛肉］　かた　赤肉　生,20.2 ,12.2 ,1.3 
＜畜肉類＞　うし　［和牛肉］　かた　脂身　生,4.0,78.0,5.2 
＜畜肉類＞　うし　［和牛肉］　かたロース　脂身つき　生,13.8 ,37.4 ,4.6 
＜畜肉類＞　うし　［和牛肉］　かたロース　皮下脂肪なし　生,14.0,36.5 ,4.6 
＜畜肉類＞　うし　［和牛肉］　かたロース　赤肉　生,16.5 ,26.1 ,4.5 
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　生,9.7 ,56.5 ,3.4 
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　ゆで,12.6 ,58.2 ,4.4 
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　焼き,14.6 ,56.8 ,4.5 
＜畜肉類＞　うし　［和牛肉］　リブロース　皮下脂肪なし　生,10.3 ,54.4 ,2.5 
＜畜肉類＞　うし　［和牛肉］　リブロース　赤肉　生,14.0,40.0,1.6 
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身　生,4.2 ,78.0,4.6 
＜畜肉類＞　うし　［和牛肉］　サーロイン　脂身つき　生,11.7 ,47.5 ,4.9 
＜畜肉類＞　うし　［和牛肉］　サーロイン　皮下脂肪なし　生,12.9 ,42.5 ,4.6 
＜畜肉類＞　うし　［和牛肉］　サーロイン　赤肉　生,17.1 ,25.8 ,4.7 
＜畜肉類＞　うし　［和牛肉］　ばら　脂身つき　生,11.0,50.0,6.0
＜畜肉類＞　うし　［和牛肉］　もも　脂身つき　生,19.2 ,18.7 ,4.8 
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　生,20.2 ,15.5 ,4.3 
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　ゆで,25.7 ,23.3 ,5.4 
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　焼き,27.7 ,22.7 ,4.9 
＜畜肉類＞　うし　［和牛肉］　もも　赤肉　生,21.3 ,10.7 ,4.4 
＜畜肉類＞　うし　［和牛肉］　もも　脂身　生,4.4 ,75.4 ,6.1 
＜畜肉類＞　うし　［和牛肉］　そともも　脂身つき　生,17.8 ,20.0,4.6 
＜畜肉類＞　うし　［和牛肉］　そともも　皮下脂肪なし　生,18.7 ,16.6 ,4.5 
＜畜肉類＞　うし　［和牛肉］　そともも　赤肉　生,20.7 ,8.7 ,4.3 
＜畜肉類＞　うし　［和牛肉］　ランプ　脂身つき　生,15.1 ,29.9 ,4.7 
＜畜肉類＞　うし　［和牛肉］　ランプ　皮下脂肪なし　生,16.0,26.4 ,4.6 
＜畜肉類＞　うし　［和牛肉］　ランプ　赤肉　生,19.2 ,13.6 ,4.1 
＜畜肉類＞　うし　［和牛肉］　ヒレ　赤肉　生,19.1 ,15.0,4.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　生,17.1 ,19.8 ,2.1 
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　ゆで,20.8 ,23.8 ,10.4 
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　焼き,23.0,25.5 ,0
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　皮下脂肪なし　生,17.9 ,14.9 ,12.4 
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　生,20.4 ,6.7 ,3.4 
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　ゆで,27.9 ,7.1 ,5.6 
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　焼き,26.9 ,7.7 ,5.2 
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身　生,4.5 ,73.3 ,5.6 
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　脂身つき　生,16.2 ,26.4 ,4.4 
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　皮下脂肪なし　生,16.5 ,25.2 ,4.4 
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　赤肉　生,19.1 ,13.9 ,4.4 
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　生,14.1 ,37.1 ,3.9 
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　ゆで,17.2 ,43.0,3.7 
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　焼き,20.4 ,45.0,4.5 
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　皮下脂肪なし　生,15.0,33.4 ,4.2 
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　赤肉　生,18.8 ,17.8 ,4.3 
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身　生,3.7 ,80.5 ,4.3 
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　脂身つき　生,16.5 ,27.9 ,4.1 
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　皮下脂肪なし　生,18.4 ,20.2 ,3.8 
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　赤肉　生,21.1 ,9.1 ,4.1 
＜畜肉類＞　うし　［乳用肥育牛肉］　ばら　脂身つき　生,12.8 ,39.4 ,3.5 
＜畜肉類＞　うし　［乳用肥育牛肉］　ばら　脂身つき　焼き,15.9 ,44.2 ,5.0
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　脂身つき　生,19.5 ,13.3 ,4.6 
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　生,20.5 ,9.9 ,4.4 
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　ゆで,28.4 ,13.8 ,5.0
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　焼き,28.0,13.2 ,6.4 
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　赤肉　生,21.9 ,4.9 ,5.2 
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　脂身　生,5.1 ,64.1 ,0.8 
＜畜肉類＞　うし　［乳用肥育牛肉］　そともも　脂身つき　生,18.2 ,16.3 ,4.2 
＜畜肉類＞　うし　［乳用肥育牛肉］　そともも　皮下脂肪なし　生,19.6 ,11.1 ,4.5 
＜畜肉類＞　うし　［乳用肥育牛肉］　そともも　赤肉　生,21.3 ,5.0,5.0
＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　脂身つき　生,18.6 ,17.8 ,4.6 
＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　皮下脂肪なし　生,19.7 ,13.9 ,4.9 
＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　赤肉　生,22.0,6.1 ,5.5 
＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　生,20.8 ,11.2 ,3.8 
＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　焼き,27.2 ,15.2 ,4.0
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　生,12.0,51.8 ,3.3 
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　ゆで,13.2 ,56.5 ,3.8 
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　焼き,14.5 ,60.1 ,2.2 
＜畜肉類＞　うし　［交雑牛肉］　リブロース　皮下脂肪なし　生,13.6 ,45.2 ,3.3 
＜畜肉類＞　うし　［交雑牛肉］　リブロース　赤肉　生,16.7 ,32.3 ,3.2 
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身　生,3.6 ,86.7 ,3.3 
＜畜肉類＞　うし　［交雑牛肉］　ばら　脂身つき　生,12.2 ,44.4 ,4.6 
＜畜肉類＞　うし　［交雑牛肉］　もも　脂身つき　生,16.4 ,28.9 ,2.7 
＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　生,18.3 ,21.6 ,3.0
＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　ゆで,25.7 ,28.2 ,0.5 
＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　焼き,25.0,27.6 ,2.8 
＜畜肉類＞　うし　［交雑牛肉］　もも　赤肉　生,19.3 ,17.5 ,2.4 
＜畜肉類＞　うし　［交雑牛肉］　もも　脂身　生,4.8 ,75.8 ,3.9 
＜畜肉類＞　うし　［交雑牛肉］　ヒレ　赤肉　生,19.0,18.0,3.6 
＜畜肉類＞　うし　［輸入牛肉］　かた　脂身つき　生,19.0,10.6 ,1.4 
＜畜肉類＞　うし　［輸入牛肉］　かた　皮下脂肪なし　生,19.6 ,7.8 ,1.3 
＜畜肉類＞　うし　［輸入牛肉］　かた　赤肉　生,20.4 ,4.6 ,1.1 
＜畜肉類＞　うし　［輸入牛肉］　かた　脂身　生,7.1 ,60.5 ,4.0
＜畜肉類＞　うし　［輸入牛肉］　かたロース　脂身つき　生,17.9 ,17.4 ,4.5 
＜畜肉類＞　うし　［輸入牛肉］　かたロース　皮下脂肪なし　生,18.0,17.1 ,4.5 
＜畜肉類＞　うし　［輸入牛肉］　かたロース　赤肉　生,19.7 ,9.5 ,4.1 
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　生,20.1 ,15.4 ,3.8 
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　ゆで,25.8 ,23.9 ,4.4 
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　焼き,25.0,23.9 ,5.7 
＜畜肉類＞　うし　［輸入牛肉］　リブロース　皮下脂肪なし　生,20.3 ,14.4 ,4.3 
＜畜肉類＞　うし　［輸入牛肉］　リブロース　赤肉　生,21.7 ,9.1 ,3.9 
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身　生,5.7 ,73.1 ,8.3 
＜畜肉類＞　うし　［輸入牛肉］　サーロイン　脂身つき　生,17.4 ,23.7 ,5.4 
＜畜肉類＞　うし　［輸入牛肉］　サーロイン　皮下脂肪なし　生,19.1 ,16.5 ,5.0
＜畜肉類＞　うし　［輸入牛肉］　サーロイン　赤肉　生,22.0,4.4 ,4.5 
＜畜肉類＞　うし　［輸入牛肉］　ばら　脂身つき　生,14.4 ,32.9 ,2.1 
＜畜肉類＞　うし　［輸入牛肉］　もも　脂身つき　生,19.6 ,8.6 ,3.6 
＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　生,20.0,6.7 ,3.1 
＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　ゆで,30.0,11.0,3.1 
＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　焼き,28.0,14.1 ,2.5 
＜畜肉類＞　うし　［輸入牛肉］　もも　赤肉　生,21.2 ,4.3 ,3.4 
＜畜肉類＞　うし　［輸入牛肉］　もも　脂身　生,6.3 ,64.4 ,6.9 
＜畜肉類＞　うし　［輸入牛肉］　そともも　脂身つき　生,18.7 ,14.3 ,4.8 
＜畜肉類＞　うし　［輸入牛肉］　そともも　皮下脂肪なし　生,19.3 ,11.9 ,4.7 
＜畜肉類＞　うし　［輸入牛肉］　そともも　赤肉　生,21.2 ,3.9 ,4.4 
＜畜肉類＞　うし　［輸入牛肉］　ランプ　脂身つき　生,18.4 ,16.4 ,4.9 
＜畜肉類＞　うし　［輸入牛肉］　ランプ　皮下脂肪なし　生,19.7 ,11.1 ,4.8 
＜畜肉類＞　うし　［輸入牛肉］　ランプ　赤肉　生,21.6 ,3.0,4.5 
＜畜肉類＞　うし　［輸入牛肉］　ヒレ　赤肉　生,20.5 ,4.8 ,2.9 
＜畜肉類＞　うし　［子牛肉］　リブロース　皮下脂肪なし　生,21.7 ,0.9 ,4.5 
＜畜肉類＞　うし　［子牛肉］　ばら　皮下脂肪なし　生,20.9 ,3.6 ,4.4 
＜畜肉類＞　うし　［子牛肉］　もも　皮下脂肪なし　生,21.2 ,2.7 ,4.6 
＜畜肉類＞　うし　［ひき肉］　生,17.1 ,21.1 ,3.6 
＜畜肉類＞　うし　［ひき肉］　焼き,25.9 ,21.3 ,5.1 
＜畜肉類＞　うし　［副生物］　舌　生,13.3 ,31.8 ,3.2 
＜畜肉類＞　うし　［副生物］　舌　焼き,20.2 ,37.1 ,5.7 
＜畜肉類＞　うし　［副生物］　心臓　生,16.5 ,7.6 ,4.3 
＜畜肉類＞　うし　［副生物］　肝臓　生,19.6 ,3.7 ,7.4 
＜畜肉類＞　うし　［副生物］　じん臓　生,16.7 ,6.4 ,4.6 
＜畜肉類＞　うし　［副生物］　第一胃　ゆで,24.5 ,8.4 ,6.8 
＜畜肉類＞　うし　［副生物］　第二胃　ゆで,12.4 ,15.7 ,3.7 
＜畜肉類＞　うし　［副生物］　第三胃　生,11.7 ,1.3 ,2.9 
＜畜肉類＞　うし　［副生物］　第四胃　ゆで,11.1 ,30.0,3.7 
＜畜肉類＞　うし　［副生物］　小腸　生,9.9 ,26.1 ,3.5 
＜畜肉類＞　うし　［副生物］　大腸　生,9.3 ,13.0,2.8 
＜畜肉類＞　うし　［副生物］　直腸　生,11.6 ,7.0,3.1 
＜畜肉類＞　うし　［副生物］　腱　ゆで,28.3 ,4.9 ,0.6 
＜畜肉類＞　うし　［副生物］　子宮　ゆで,18.4 ,3.0,0.6 
＜畜肉類＞　うし　［副生物］　尾　生,11.6 ,47.1 ,3.4 
＜畜肉類＞　うし　［副生物］　横隔膜　生,14.8 ,27.3 ,2.8 
＜畜肉類＞　うし　［副生物］　横隔膜　ゆで,21.3 ,36.7 ,4.5 
＜畜肉類＞　うし　［副生物］　横隔膜　焼き,21.1 ,37.2 ,4.0
＜畜肉類＞　うし　［加工品］　ローストビーフ,21.7 ,11.7 ,4.1 
＜畜肉類＞　うし　［加工品］　コンビーフ缶詰,19.8 ,13.0,3.4 
＜畜肉類＞　うし　［加工品］　味付け缶詰,19.2 ,4.4 ,11.6 
＜畜肉類＞　うし　［加工品］　ビーフジャーキー,54.8 ,7.8 ,14.1 
＜畜肉類＞　うし　［加工品］　スモークタン,18.1 ,23.0,4.5 
＜畜肉類＞　うま　肉　赤肉　生,20.1 ,2.5 ,3.1 
＜畜肉類＞　くじら　肉　赤肉　生,24.1 ,0.4 ,4.5 
＜畜肉類＞　くじら　うねす　生,18.8 ,31.4 ,3.5 
＜畜肉類＞　くじら　本皮　生,9.7 ,68.8 ,16.6 
＜畜肉類＞　くじら　さらしくじら,5.3 ,0.9 ,0.1 
＜畜肉類＞　しか　あかしか　赤肉　生,22.3 ,1.5 ,4.5 
＜畜肉類＞　しか　にほんじか　赤肉　生,23.9 ,4.0,1.8 
＜畜肉類＞　しか　にほんじか　えぞしか　赤肉　生,22.6 ,5.2 ,2.3 
＜畜肉類＞　しか　にほんじか　ほんしゅうじか・きゅうしゅうじか　赤肉　生,22.6 ,2.5 ,3.6 
＜畜肉類＞　ぶた　［大型種肉］　かた　脂身つき　生,18.5 ,14.6 ,0.8 
＜畜肉類＞　ぶた　［大型種肉］　かた　皮下脂肪なし　生,19.7 ,9.3 ,0.7 
＜畜肉類＞　ぶた　［大型種肉］　かた　赤肉　生,20.9 ,3.8 ,0.7 
＜畜肉類＞　ぶた　［大型種肉］　かた　脂身　生,5.3 ,72.4 ,1.1 
＜畜肉類＞　ぶた　［大型種肉］　かたロース　脂身つき　生,17.1 ,19.2 ,3.4 
＜畜肉類＞　ぶた　［大型種肉］　かたロース　皮下脂肪なし　生,17.8 ,16.0,3.5 
＜畜肉類＞　ぶた　［大型種肉］　かたロース　赤肉　生,19.7 ,7.8 ,3.8 
＜畜肉類＞　ぶた　［大型種肉］　かたロース　脂身　生,5.4 ,70.7 ,1.5 
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　生,19.3 ,19.2 ,3.0
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　ゆで,23.9 ,24.1 ,3.1 
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　焼き,26.7 ,22.7 ,4.4 
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　とんかつ,22.0,35.9 ,12.9 
＜畜肉類＞　ぶた　［大型種肉］　ロース　皮下脂肪なし　生,21.1 ,11.9 ,3.6 
＜畜肉類＞　ぶた　［大型種肉］　ロース　赤肉　生,22.7 ,5.6 ,3.8 
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身　生,5.1 ,76.3 ,1.3 
＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　生,14.4 ,35.4 ,2.2 
＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　焼き,19.6 ,43.9 ,3.6 
＜畜肉類＞　ぶた　［大型種肉］　もも　脂身つき　生,20.5 ,10.2 ,4.6 
＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　生,21.5 ,6.0,4.3 
＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　ゆで,28.9 ,8.1 ,4.9 
＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　焼き,30.2 ,7.6 ,4.6 
＜畜肉類＞　ぶた　［大型種肉］　もも　赤肉　生,22.1 ,3.6 ,4.8 
＜畜肉類＞　ぶた　［大型種肉］　もも　脂身　生,6.5 ,67.6 ,2.5 
＜畜肉類＞　ぶた　［大型種肉］　そともも　脂身つき　生,18.8 ,16.5 ,4.0
＜畜肉類＞　ぶた　［大型種肉］　そともも　皮下脂肪なし　生,20.2 ,10.7 ,4.4 
＜畜肉類＞　ぶた　［大型種肉］　そともも　赤肉　生,21.4 ,5.5 ,4.7 
＜畜肉類＞　ぶた　［大型種肉］　そともも　脂身　生,6.6 ,68.1 ,0.9 
＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　生,22.2 ,3.7 ,3.7 
＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　焼き,39.3 ,5.9 ,6.1 
＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　とんかつ,25.1 ,25.3 ,18.5 
＜畜肉類＞　ぶた　［中型種肉］　かた　脂身つき　生,18.3 ,17.2 ,0.4 
＜畜肉類＞　ぶた　［中型種肉］　かた　皮下脂肪なし　生,19.7 ,10.8 ,0.4 
＜畜肉類＞　ぶた　［中型種肉］　かた　赤肉　生,21.4 ,3.5 ,0.4 
＜畜肉類＞　ぶた　［中型種肉］　かた　脂身　生,4.9 ,75.7 ,0.3 
＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身つき　生,17.7 ,19.3 ,3.2 
＜畜肉類＞　ぶた　［中型種肉］　かたロース　皮下脂肪なし　生,18.5 ,15.7 ,3.4 
＜畜肉類＞　ぶた　［中型種肉］　かたロース　赤肉　生,20.6 ,6.8 ,3.9 
＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身　生,5.4 ,71.9 ,0.6 
＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身つき　生,18.3 ,22.6 ,3.5 
＜畜肉類＞　ぶた　［中型種肉］　ロース　皮下脂肪なし　生,20.6 ,13.6 ,3.5 
＜畜肉類＞　ぶた　［中型種肉］　ロース　赤肉　生,22.9 ,4.6 ,4.3 
＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身　生,4.1 ,78.3 ,0.6 
＜畜肉類＞　ぶた　［中型種肉］　ばら　脂身つき　生,13.4 ,40.1 ,2.8 
＜畜肉類＞　ぶた　［中型種肉］　もも　脂身つき　生,19.5 ,15.1 ,4.4 
＜畜肉類＞　ぶた　［中型種肉］　もも　皮下脂肪なし　生,21.3 ,7.8 ,4.8 
＜畜肉類＞　ぶた　［中型種肉］　もも　赤肉　生,21.9 ,5.3 ,4.9 
＜畜肉類＞　ぶた　［中型種肉］　もも　脂身　生,5.2 ,73.8 ,1.5 
＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身つき　生,18.0,20.3 ,4.0
＜畜肉類＞　ぶた　［中型種肉］　そともも　皮下脂肪なし　生,21.0,8.5 ,4.5 
＜畜肉類＞　ぶた　［中型種肉］　そともも　赤肉　生,21.9 ,4.8 ,4.7 
＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身　生,4.9 ,72.5 ,1.4 
＜畜肉類＞　ぶた　［中型種肉］　ヒレ　赤肉　生,22.7 ,1.7 ,4.7 
＜畜肉類＞　ぶた　［ひき肉］　生,17.7 ,17.2 ,2.3 
＜畜肉類＞　ぶた　［ひき肉］　焼き,25.7 ,21.5 ,5.0
＜畜肉類＞　ぶた　［副生物］　舌　生,15.9 ,16.3 ,4.6 
＜畜肉類＞　ぶた　［副生物］　心臓　生,16.2 ,7.0,4.8 
＜畜肉類＞　ぶた　［副生物］　肝臓　生,20.4 ,3.4 ,7.1 
＜畜肉類＞　ぶた　［副生物］　じん臓　生,14.1 ,5.8 ,5.2 
＜畜肉類＞　ぶた　［副生物］　胃　ゆで,17.4 ,5.1 ,4.4 
＜畜肉類＞　ぶた　［副生物］　小腸　ゆで,14.0,11.9 ,3.5 
＜畜肉類＞　ぶた　［副生物］　大腸　ゆで,11.7 ,13.8 ,3.2 
＜畜肉類＞　ぶた　［副生物］　子宮　生,14.6 ,0.9 ,3.3 
＜畜肉類＞　ぶた　［副生物］　豚足　ゆで,20.1 ,16.8 ,0.5 
＜畜肉類＞　ぶた　［副生物］　軟骨　ゆで,17.8 ,17.9 ,3.3 
＜畜肉類＞　ぶた　［ハム類］　骨付きハム,16.7 ,16.6 ,5.0
＜畜肉類＞　ぶた　［ハム類］　ボンレスハム,18.7 ,4.0,4.8 
＜畜肉類＞　ぶた　［ハム類］　ロースハム　ロースハム,18.6 ,14.5 ,6.0
